source,date,url,title_en,text_en
provincie-utrecht,2025-11-13T08:30:00Z,https://www.provincie-utrecht.nl/actueel/nieuws/onderzoek-naar-pfas-regenwater-gestart,Research into PFAS in rainwater started,"The province of Utrecht, together with the KWR research institute, is starting a study into PFAS in rainwater. This research was started because various PFAS substances can be measured in the groundwater for which no clear source can be identified. The analysis of rainwater must clarify whether precipitation is one of the sources of these substances.
PFAS is a group of thousands of chemicals that do not or hardly break down in the environment. It is not without reason that the nickname of the substance group is Forever Chemicals. Diffuse contamination is measured almost everywhere where measurements for PFAS take place. These are often not alarming amounts, but it shows that PFAS are widespread. It turns out that the chemicals can also end up from rain into the soil and groundwater.
That is why fourteen rain gauges have been installed for additional research in collaboration with the KWR research institute. These meters are spread across the province and collect rainwater, after which sampling takes place. Research is being conducted into how PFAS end up in the Utrecht soil, which substances they are and to what extent rain contributes to the concentrations found. One of the rain gauges is located at the provincial government building on Archimedeslaan in Utrecht.
Two samples are taken per location and the time for sampling is determined based on the precipitation forecast. The entire investigation takes six months. The first results are expected to be known in early 2026.
PFAS are used in many everyday products such as non-stick pans, rainwear and baking paper. It is becoming increasingly clear that the substances can cause damage to human health and the environment. The province of Utrecht supports the lobby of the Interprovincial Consultation (IPO) to reduce the use of PFAS. The province also supports the lobby of Vewin and the Union of Water Boards for a total ban on PFAS.
For press information:jiri.glaap@provincie-utrecht.nl06 39 63 21 97"
provincie-utrecht,2025-11-25T13:39:21+0100,https://www.provincie-utrecht.nl/onderwerpen/bodem-en-water/bodemverontreiniging/bodemsanering-park-vliegbasis-soesterberg,Soil remediation at Soesterberg Air Base,"The soil at the former Soesterberg Air Base is being remediated. There are PFAS in the soil and groundwater. The contamination was discovered during soil research in 2018. This took place in preparation for the realization of the intended residential area, south of Soesterberg Air Base Park. The location with the contamination is near the former fire station and the fire training site at the former air base. PFAS contaminants have also been found in the soil at the former tank site. This site is also included in the remediation (see map below with the remediation locations).
Ground and groundwater remediation is necessary to protect nature and groundwater. And to make the location at the former fire station suitable for housing. With this remediation we ensure that there are no longer any risks to nature and groundwater at Soesterberg Air Base Park and that people can live and recreate there safely.
The soil investigations have shown that the PFAS contamination in the soil and in the groundwater at the former fire station and training site are within the boundaries of the former air base and have not spread beyond.
At the former fuel station, the PFAS contamination in the soil is limited to the immediate vicinity of that location within the boundaries of the former air base. The PFAS contamination in the groundwater has spread beyond the property boundaries of the former air base. Based on the most recent research results (2025) to approximately 300 meters from the border of the air base in a northwesterly direction to the southern part of the Numanbos. In addition, the soil in the immediate vicinity of the tank site is contaminated with kerosene. This contamination is also located within the boundaries of the former air base. Additional soil research will be conducted at the end of 2025, beginning of 2026 to further map the contaminants here.
According to current insights, the remediation of the two remediation sites will consist of removing the most contaminated soil. This is replaced by clean soil. The contaminated groundwater is also pumped up and - after purification - infiltrated into the soil again. The aim of this is to both remove PFAS from the groundwater and prevent further spread.
The remediation must be done carefully. Several studies were carried out in 2025 to better visualize the contamination and to collect information necessary to draw up the remediation plan. This describes in detail how the remediation work will ultimately be carried out. This remediation plan will be completed in the first half of 2026 and must be approved by the Utrecht Regional Implementation Service (RUD), as the competent authority on behalf of the province of Utrecht. This is followed by a tender procedure, after which a selected contractor carries out the remediation. Based on current insights, the remediation work is expected to start in early 2027.
In 2009 we bought the former Soesterberg Air Base from the government to mainly develop the site as a nature reserve. The new residential area on the edge of the area is also part of the plans. At a new residential construction site, a soil investigation must always be carried out first. This soil survey was carried out in 2018. This investigation has shown that the soil - soil and groundwater - at the planned housing location is contaminated with PFAS-containing substances. This substance was in the extinguishing agent that was used between 1983 and 2006 during fire extinguishing exercises at the fire station and training location located there. During this period it was not known that PFAS could contaminate the soil with risks for people and the environment. Because the fire extinguishing exercises were also carried out at the former tank site, this location was also included in the study. Both the fire station and the fuel station have now been demolished.
Download the timeline with the milestones of the soil remediation at Soesterberg Air Base Park (pdf, 57.78 kB).
On January 17, 2024, we informed the municipal councils of Soest and Zeist and the Provincial Council of Utrecht via a webinar about the PFAS soil remediation at the former air base in Soesterberg. Experts explained the need for this remediation, the approach and the planning. This webinar was recorded and the recording was made into a video. You will find the link to this video at the bottom of the page bi"
rtvutrecht,2025-11-24T04:00:08Z,https://www.rtvutrecht.nl/nieuws/3970001/arnaut-onderzoekt-waarom-pfas-steeds-vaker-in-de-bodem-zit,Arnaut investigates why PFAS are increasingly found in the soil,"November 24, 5:00 AM•ModifiedNovember 24, 2:41 PM•5 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2025-11-21T20:22:42Z,https://www.rtvutrecht.nl/nieuws/3970376/veel-meer-geld-nodig-voor-opruimen-pfas-bij-vliegbasis-soesterberg,Much more money is needed to clean up PFAS at Soesterberg air base,"November 21, 9:22 PM•Adapted November 22, 4:53 PM•1 minute reading time
PFAS is a collective name for thousands of chemicals that do not or hardly break down in the environment. They are also called forever chemicals.
It is common because it is found in many everyday products, such as non-stick pans, rainwear and baking paper.
With long-term exposure, PFAS can be harmful to people, animals and the environment.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
provincie-utrecht,2025-11-12T14:10:53Z,https://www.provincie-utrecht.nl/actueel/nieuws/onderzoek-pesticiden-bron-van-ruim-duizend-kilo-pfas-vervuiling-jaar,Research: Pesticides source of more than a thousand kilos of PFAS pollution per year,"The province of Utrecht, together with six other provinces and Vewin (Association of Water Companies in the Netherlands), has conducted research into the use and distribution of pesticides containing PFAS. The research was conducted by research and consultancy agency CLM and shows that approximately 1,000 kilos of PFAS pesticides are used in Utrecht every year. Thanks to the research, there is a better picture of the use, distribution and risks of these substances for groundwater and soil.
The research was conducted because provinces and drinking water companies are increasingly concerned about PFAS contamination and its influence on groundwater. Groundwater is a source of drinking water and contamination of it threatens its suitability for consumption. Approximately 1,000 kilos of PFAS pesticides are used in Utrecht every year. Remains of this end up in the environment. It is still too early to say whether 1000 kilos is a lot or little. Utrecht scores considerably lower than other provinces surveyed.
The province of Utrecht stands for a safe living environment, clean water and healthy soil. Finding the remains of PFAS pesticides in our soil emphasizes the importance of structurally reducing these substances. Crop protection products containing PFAS have been authorized since the 1990s, and there are a total of 115 products on the market that contain PFAS as an active substance or as an additive. These substances can produce degradation products that are also a PFAS substance, for example TFA. The researchers have seen an increase in the use of PFAS pesticides, especially in the past three years. They write about an increase of up to 67 percent.
The RIVM already reported in 2021 that people ingest too much PFAS through food and drinking water. Deputy Water and Soil Has Bakker: ""We have not cooperated in this research for nothing. What we see now confirms the concerns we have had for a long time. We now have to do something about this. Of course as a province itself, but we are also looking at Europe and the national government to tighten up the rules."" The study attributes the use of the resources in Utrecht to the cultivation of hard fruit such as pears, apples (to a lesser extent) and silage maize.
The research report contains a number of recommendations addressed to the central government and the Board for the Authorization of Plant Protection Products and Biocides (Ctgb): the rules for PFAS-containing pesticides must be stricter, including better registration of substances at plot level and a stop on the use of PFAS additives. In addition, growers must receive more information about what is contained in products. This is often unknown to growers.
Provinces also receive recommendations, including: more targeted soil (water) measurements for PFAS pesticides in agricultural areas with intensive cultivation and the anchoring of groundwater protection in environmental policy. Deputy Bakker: ""The use of PFAS pesticides has increased significantly in recent years. We also see that information about the impact of the use of these products is still incomplete. I am concerned about the condition of our soil and groundwater. It is now important to address the recommendations and, together with the sector, reduce the use of PFAS pesticides.""
In addition, the province of Utrecht is involved in an IPO context in lobbying for an active approach to PFAS to prevent further spread. The province also supports the lobby of Vewin and the Union of Water Boards for a total ban on PFAS. Has Bakker: “Millions of euros are being spent on PFAS remediation. As long as we don't do anything about the source, it is a matter of sweeping the floor with the tap open.”
The research agency's findings will be further studied in the coming weeks. At the end of November, the Provincial Council will be informed about how the province of Utrecht can implement the researchers' recommendations.
For press information:jiri.glaap@provincie-utrecht.nl06 39 63 21 97"
provincie-utrecht,2024-12-17T16:55:39Z,https://www.provincie-utrecht.nl/actueel/nieuws/rapportage-grondwaterkwaliteit-toename-van-pfas-grondwater-verwacht,Groundwater quality report: increase in PFAS in groundwater expected,"PFAS substances in deep groundwater are expected to increase further in the coming years. This is evident from the report on the groundwater quality measurement round 2024. The results provide insight into substances present in the groundwater and show whether policy contributes to cleaner groundwater. The measurement round also shows whether there are long-term risks for drinking water sources.
The province of Utrecht has an extensive monitoring network with fixed monitoring wells throughout the province. Sampling takes place at a depth of 10 to 25 meters below ground level to gain insight into water quality and to discover trends. Determining trends provides insight into achieving the goals of the Water Framework Directive (WFD), the European directive that prescribes the quality water must meet.
Groundwater measurements provide an impression of the spread of substances to the deeper groundwater and thus predict possible threats to the drinking water supply. The 2024 measurement round shows that pesticides are still widely present in the groundwater. It is striking that some of these substances have already been banned at a lower level, but are still detected in groundwater. This shows that these substances are slowly disappearing from the environment. There is limited evidence of medical substances and residues from industry. There are no worrying developments, the picture is comparable to previous rounds of measurements.
PFAS substances have been found to be widespread, which is consistent with previous rounds of measurements. An explanation for this may be that measurements are now being taken in more places and more accurately. With regard to PFAS, the measurements show that the concentrations of PFAS decrease the deeper the measurement takes place. PFAS substances have been used for more than 30 years and are sinking deeper and deeper into the ground. PFAS mainly end up on and in the soil through precipitation (rain and carried by wind).
“If the pattern shown by the measurements continues, an increase in PFAS in the deep groundwater can be expected,” said Deputy Water and Soil Has Bakker: “It is high time that more and more effective measures are taken. As a province, we are committed to this in Europe. But also closer to home, which is why we support the Union of Water Boards with their urgent letter about PFAS to the central government.”
With this measuring network, the province of Utrecht has a good overview of new substances and can measure very low concentrations. The province thus fulfills a pioneering role when it comes to gaining insight into shallow and deeper groundwater quality. Deputy Bakker: “We use this data ourselves and share it with others to achieve better legislation and regulations so that all these types of substances of concern are detected in a timely manner and do not end up in the environment.”
For press information:jiri.glaap@provincie-utrecht.nl06 39 63 21 97"
provincie-utrecht,2025-11-21T13:00:00Z,https://www.provincie-utrecht.nl/actueel/nieuws/grondwaterstanden-beinvloeden-saneringsaanpak-park-vliegbasis-soesterberg,Groundwater levels influence the remediation approach to Park Soesterberg Air Base,"The Province of Utrecht is preparing the remediation of the contaminated soil at Soesterberg Air Base Park. Recently completed soil investigations show that due to the high groundwater levels, more PFAS enters the groundwater from the contaminated subsurface. The province of Utrecht is currently looking at various options to carry out the remediation as effectively as possible. This situation has no influence on the housing construction plans.
In 2024, additional soil research was carried out at the former air base in Soesterberg. Higher concentrations of PFAS were found than expected. This is due to the exceptionally wet weather conditions in 2023 and 2024, which caused the groundwater level to fluctuate significantly. This had a negative effect on the contamination and requires a reassessment of the remediation approach. Climate change increases the risk of extreme weather, which means that both high and low water levels will play a role more often.
The same situation also applies to a second location where PFAS was found in the ground: the old tank site. This site is also included in the remediation. There was PFOS in the firefighting foam that was used for training in the past. This is a substance that, together with many other chemicals, belongs to the PFAS group.
Now that the studies have been completed, various soil specialists have described several options for carefully carrying out the remediation. In the coming period, the council of the Provincial Executive will make a choice about which variant best suits the remediation task. A final implementation plan for the remediation will then be drawn up. A decision on the final plan and financial coverage will be made in the spring of 2026. All variants ensure a safe living situation in the area.
The ground and groundwater contamination at the former air base is one of the larger remediation tasks in our country. The remediation of soil contaminated with PFAS is relatively new in the Netherlands. That is why we are investigating how exactly the substance behaves and which measures are most effective. This requires a careful and learning approach.
The ground and groundwater remediation is necessary to protect nature and groundwater and to make the location near the former fire station suitable for housing. As a province, we also want to prevent groundwater contamination from causing problems for the drinking water supply in the future.
For press information:jiri.glaap@provincie-utrecht.nl06 39 63 21 97"
provincie-utrecht,2025-06-03T10:11:57Z,https://www.provincie-utrecht.nl/actueel/nieuws/kadernota-2026-doorpakken-op-uitvoering-coalitieakkoord-en-vergroten-realisatiekracht,Framework memorandum 2026: continue to implement the coalition agreement and increase implementation power,"The province of Utrecht wants to give impetus to the implementation of the coalition agreement and invest in the agility of the organization to better respond to major transitions. This is stated in the Framework Memorandum 2026-2029 that was presented to the Provincial Council today. Deputy Finance Minister Has Bakker: “We are going to deliver on what we have agreed and want to take meaningful steps to meet the challenges that face us.” The province also calls on the government to provide sufficient resources for themes such as housing, rural areas, accessibility and solving grid congestion.
Halfway through its term, the Provincial Executive makes proposals to give an extra boost to the ambitions and agreements in the coalition agreement 'Getting started for Utrecht'. Extra efforts are being made to create a province where nature is stronger, cleaner and healthier, with a living environment that is ready for the future. The framework memorandum involves an additional investment of more than 32 million euros in 2026. This course will be continued in the coming years: up to and including 2029, expenditure will increase by 130 million euros.
This framework memorandum contains proposals to further improve nature management and invest in the implementation of the Utrecht Rural Area Program. More than three million euros will be released for the Natura 2000 areas and Agricultural Nature and Landscape Management. Culture also receives attention. In 2026, regional and castle museums will receive 600,000 euros to renovate.
Another major investment is for residential construction. Finding a suitable home is a major problem for many people. That is why the province is working to accelerate housing construction and supports municipalities in creating more affordable homes. The current Housing Construction Acceleration program runs until 2028, but the housing construction challenge will not stop then. The council is therefore releasing a total of 27 million extra euros to guarantee the commitment to the acceleration of housing construction until 2030.
Accessibility in Utrecht receives continued attention from the province. Also in this framework memorandum, because where new houses are built, facilities are also needed. Utrecht is home to the largest housing location in the Netherlands, on which the province is working together with municipalities: Groot Merwede and Rijnenburg, good for approximately 75,000 homes. A tram line is needed for accessibility: the Merwedelijn. This requires more money than the 1.2 billion euros promised by the central government, municipalities and province.
The council is therefore taking a step forward and asking the Provincial Council to agree to a plan to increase the own contribution by 100 million euros. This amount is in addition to the 200 million that has already been reserved. Financial coverage for this proposed increase is being sought within the existing public transport budget.
It has been clear for some time that more effort is and remains necessary in enforcement, supervision and licensing. The framework memorandum therefore makes room to strengthen the implementation of these tasks. The presence of substances of very high concern (ZZS) such as PFAS in soil and water is a growing social challenge. The nitrogen problem also puts great pressure on the province, farmers, entrepreneurs, nature organizations and other governments. The solutions are often complex and time-consuming.
That is why the province of Utrecht wants to acquire more expertise to tackle these types of problems and act quickly. Deputy Bakker: “People are needed who can work on the nitrogen task and the transition of the rural area, but we also need lawyers and hydrologists, for example, to implement the measures for the Water Framework Directive and to ensure clean and sufficient drinking water.”
In the meantime, the world does not stand still. Geopolitical tensions create uncertainty and technological innovations occur in rapid succession. At the same time, the province is increasingly being called upon to contribute to social challenges. This requires agility and resilience from the organization. That is why investments are being made in the provincial organization in the field of strategic knowledge and ICT.
Sufficient financing is needed to properly implement the growing range of tasks, ambitions and responsibilities of the province. The province of Utrecht is therefore concerned about the new distribution of the provincial fund that the Ministry of the Interior and Kingdom Relations"
rtvutrecht,2025-07-08T13:52:47Z,https://www.rtvutrecht.nl/nieuws/3918065/meten-is-weten-in-nieuw-laboratorium-in-houten-testen-ze-waterkwaliteit,Measuring is knowing: they test water quality in a new laboratory in Houten,"July 8, 3:52 PM • Modified August 13, 2:01 AM • 2 minutes reading time
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
rtvutrecht,2025-11-13T13:27:24Z,https://www.rtvutrecht.nl/nieuws/3967273/provincie-utrecht-onderzoekt-regenwater-op-aanwezigheid-pfas,The province of Utrecht examines rainwater for the presence of PFAS,"PFAS is a collective name for thousands of chemicals that do not or hardly break down in the environment. They are also called forever chemicals.
It is common because it is found in many everyday products, such as non-stick pans, rainwear and baking paper.
With long-term exposure, PFAS can be harmful to people, animals and the environment.
Do you have a tip or comment? Send us your news or photo via WhatsApp or email."
