month,mean_article_sentiment,article_count,mean_pfas_intensity,mean_scope,mean_transparency,tender_count
2019-11-01,0.0,6,0.0018429664049107624,1.0,1.0,1
2020-04-01,0.0,1,0.11314214072084806,1.0,0.5,1
2021-09-01,0.0,1,0.00834564897244259,1.0,1.0,1
2023-03-01,0.0,1,0.05073981168590518,1.0,1.0,3
2024-03-01,0.934,1,0.0018823480714564528,1.0,1.0,2
2024-04-01,-0.2707,4,0.19061461041356298,1.0,0.5,1
2024-07-01,0.0,1,0.1380987172117079,0.3333333333333333,0.8333333333333334,3
2024-10-01,0.0,1,0.3215280631857089,0.5,1.0,2
2024-12-01,0.9833,1,0.028193518999322667,1.0,0.75,2
2025-04-01,-0.4864,2,0.04219625304244142,0.75,1.0,2
2025-06-01,0.49695,2,0.1447432291285441,1.0,0.5,1
2025-07-01,-0.4201,2,0.07393013639210018,1.0,1.0,4
